TGL_TRANSAKSI|TERMINAL_ID|NAMA_PP|ID_TRX|REFF_ID|TRACE_NUMBER|TRAN_AMOUNT|ADMIN_BANK|TRX|TRANSACTION_NUMBER
03/07/2024|I001IGR1|PT KIS|113078680115|d7447e45-38d2-11ef-a58c-0025908c42fa|113078680115|50000|6500|1|20240703072744740
03/07/2024|I001IGR1|PT KIS|113078681503|3462dd62-38d8-11ef-a58c-0025908c42fa|113078681503|10000|6500|1|20240703080954065
03/07/2024|I001IGR1|PT KIS|113078682430|97d34f8c-38db-11ef-a58c-0025908c42fa|113078682430|100000|6500|1|20240703082901905
03/07/2024|I001IGR1|PT KIS|113078685910|07fdb332-38e9-11ef-a58c-0025908c42fa|113078685910|90000|6500|1|20240703100526695
03/07/2024|I001IGR1|PT KIS|113078690100|448fc436-38fb-11ef-a58c-0025908c42fa|113078690100|10000|6500|1|20240703121606467
03/07/2024|I001IGR1|PT KIS|113078691582|7c99b135-3903-11ef-a58c-0025908c42fa|113078691582|45000|6500|1|20240703131518158
03/07/2024|I001IGR1|PT KIS|113078692980|551ec630-390a-11ef-a58c-0025908c42fa|113078692980|1250000|6500|1|20240703140345569
03/07/2024|I001IGR1|PT KIS|113078694524|f927bf1d-390f-11ef-a58c-0025908c42fa|113078694524|3000000|6500|1|20240703144447074
03/07/2024|I001IGR1|PT KIS|113078696169|37c0b1bf-3918-11ef-a58c-0025908c42fa|113078696169|200000|6500|1|20240703154436724
03/07/2024|I001IGR1|PT KIS|113078696607|1e89d389-391a-11ef-a58c-0025908c42fa|113078696607|75000|6500|1|20240703155645776
03/07/2024|I001IGR1|PT KIS|113078696797|3bfb11a1-391b-11ef-a58c-0025908c42fa|113078696797|2000000|6500|1|20240703160446208
03/07/2024|I001IGR1|PT KIS|113078702936|c9dbb3dd-3930-11ef-a58c-0025908c42fa|113078702936|145000|6500|1|20240703184011666
03/07/2024|I001IGR1|PT KIS|113078706619|30e59539-393d-11ef-a58c-0025908c42fa|113078706619|2200000|6500|1|20240703200753952
03/07/2024|I001IGR1|PT KIS|113078708225|4cf63530-3943-11ef-a58c-0025908c42fa|113078708225|100000|6500|1|20240703205124871
03/07/2024|I001IGR1|PT KIS|113078708760|be2f2a4e-3945-11ef-a58c-0025908c42fa|113078708760|100000|6500|1|20240703210923700
03/07/2024|I001IGR1|PT KIS|113078710462|19e44cfa-3951-11ef-a58c-0025908c42fa|113078710462|100000|6500|1|20240703223104918
